,电影名,评分,上映日期,导演,主演,片长,网址
120,倩女幽魂,8.7,1987-07-18(中国香港),程小东,张国荣,98分钟(香港),https://movie.douban.com/subject/1297447/
121,超脱 Detachment,8.9,2011-04-25(翠贝卡电影节),托尼·凯耶,艾德里安·布洛迪,97分钟,https://movie.douban.com/subject/5322596/
122,甜蜜蜜,8.8,1996-11-02(中国香港),陈可辛,黎明,118分钟(中国大陆),https://movie.douban.com/subject/1305164/
123,驯龙高手 How to Train Your Dragon,8.7,2010-05-14(中国大陆),迪恩·德布洛斯,杰伊·巴鲁切尔,98分钟,https://movie.douban.com/subject/2353023/
124,萤火之森 蛍火の杜へ,8.9,2011-09-17(日本),大森贵弘,佐仓绫音,45分钟,https://movie.douban.com/subject/5989818/
125,恐怖直播 더 테러 라이브,8.8,2013-07-31(韩国),金秉祐,河正宇,97分钟,https://movie.douban.com/subject/21360417/
126,幸福终点站 The Terminal,8.8,2005-01-14(中国大陆),史蒂文·斯皮尔伯格,汤姆·汉克斯,128分钟,https://movie.douban.com/subject/1292274/
127,超能陆战队 Big Hero 6,8.7,2015-02-28(中国大陆),唐·霍尔,斯科特·安第斯,102分钟,https://movie.douban.com/subject/11026735/
128,菊次郎的夏天 菊次郎の夏,8.8,1999-05-20(戛纳电影节),北野武,北野武,121分钟,https://movie.douban.com/subject/1293359/
129,无人知晓 誰も知らない,9.1,2004-05-13(戛纳电影节),是枝裕和,柳乐优弥,141分钟,https://movie.douban.com/subject/1292337/
130,爱在日落黄昏时 Before Sunset,8.8,2004-02-10(柏林电影节),理查德·林克莱特,伊桑·霍克,80 分钟,https://movie.douban.com/subject/1291990/
131,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,8.8,2010-07-17(日本),米林宏昌,志田未来,94分钟,https://movie.douban.com/subject/4202302/
132,神偷奶爸 Despicable Me,8.6,2010-06-20(莫斯科电影节),皮埃尔·柯芬,史蒂夫·卡瑞尔,95分钟,https://movie.douban.com/subject/3287562/
